id;nome;categoria;preco_original;preco_venda;imagem_url;imagem_local;variacoes;url_produto
1173;Bicicleta Infantil Aro 16 Moto Bike C/ Rodinha Menino;Menino;1199.9;999.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/212164919/5-zaa9y31zxa.png;imagens_produtos\1173.jpg;[];https://www.glumi.com.br/produto/bicicleta-infantil-aro-16-moto-bike-c-rodinha-menino-2023-04-11-16-38-39.html
BIKEAVENTURAMASC;Bike Menino Aro 16 Infantil Aventura 4 - 8 anos Vermelha Azul;Bicicleta;849.9;699.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/263113592319a570829.jpg;imagens_produtos\BIKEAVENTURAMASC.jpg;['2659', '2658'];https://www.glumi.com.br/bicicleta-aro-16-menino-com-rodinha-unitoys
BIKELOVEFEM;Bicicleta Feminina Aro 16 Love Menina Unitoys Tiffany;Bicicleta;949.9;799.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/263137397723c3bacf4.jpg;imagens_produtos\BIKELOVEFEM.jpg;['2660', '2661'];https://www.glumi.com.br/bicicletinha-aro-16-love-menina-unitoys-tiffany-2024-04-11-16-46-35
2643_ao_2648;Patins Infantil 4 Rodas Inline Varios Tamanhos e Cores;Patins;208.9;155.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/26799912825b7a2ba48.jpg;imagens_produtos\2643_ao_2648.jpg;['2648', '2643', '2647', '2646', '2645', '2644'];https://www.glumi.com.br/patins-infantil-4-rodas-inline-varios-tamanhos-e-cores
SUPERCAR;Carrinho Infantil Super Car Gira Volante;Super Ofertas;459.9;399.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/268973378/carrinho-infantil-super-car-gira-volante-menino-e-menina-1wahbvn5or.png;imagens_produtos\SUPERCAR.jpg;['GG101T', 'GG100A'];https://www.glumi.com.br/carrinho-infantil-super-car-gira-volante
2649_ao_2652;Patins Quad Infantil Sereia  Ajustável 4 Rodas c/ Led;Patins;399.9;319.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/269551770e540b7e3c9.jpg;imagens_produtos\2649_ao_2652.jpg;['2649', '2650', '2652', '2651'];https://www.glumi.com.br/patins-quad-infantil-sereia-ajustavel-4-rodas-c-led
3004_3091;Moto Eletrica Triciclo Infantil 6v Race Modelo Clássico Colors;Outros Brinquedos;899.9;699.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/350267571/2-81fzgn07j5.png;imagens_produtos\3004_3091.jpg;['3005', '3216', '3006', '3091', '3004'];https://www.glumi.com.br/moto-eletrica-infantil-6v-race-2025-04-30-09-17-19
1700MESAROSA;Mesinha Rosa Infantil Injeplastec 1700 Conforto e Estilo para Crianças;Outros Brinquedos;39.9;39.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/352982134/211481d49c1f9d52fd4ebabf0e56da2d-1ue2oxwvnw.jpg;imagens_produtos\1700MESAROSA.jpg;[];https://www.glumi.com.br/mesinha-rosa-infantil-injeplastec-1700-conforto-e-estilo-para-criancas
1703CADROSA;Cadeirinha Infantil Rosa 1703 – Para Estudo, Brincadeira e Refeições;Outros Brinquedos;29.9;29.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/352982158/48a812edc99373c03ad50e8a627988c8-qowo9sqsfz.jpg;imagens_produtos\1703CADROSA.jpg;[];https://www.glumi.com.br/cadeirinha-infantil-rosa-1703-para-estudo-brincadeira-e-refeicoes
1507;Bicicleta Princess Aro 14 Rosa Infantil - Unitoys;Menina;779.9;709.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/126401188b6af956bc3.jpg;imagens_produtos\1507.jpg;[];https://www.glumi.com.br/produto/bicicleta-aro-14-bicicletinha-infantil-rosa-para-menina.html
1506;Bicicleta Aro 14 Infantil Bike Cross Vermelha Unitoys;Bicicleta;1029.9;839.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/118984222/1172_14-b4140c4afd.jpg;imagens_produtos\1506.jpg;[];https://www.glumi.com.br/produto/bicicleta-infantil-aro-14-bike-cross-vermelha-unitoys.html
1172;Bike Cross Bicicleta Infantil Aro 16 4 A 8 Anos Menino;Super Ofertas;1109.9;979.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/95652517d1005b542e.jpg;imagens_produtos\1172.jpg;[];https://www.glumi.com.br/produto/bike-cross-bicicleta-infantil-aro-16-4-a-8-anos-menino.html
1493;Cesta De Basquete Infantil Com Aro E Bola 30 X25 Cm;Super Ofertas;92.9;56.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/126400529438feda72f.jpg;imagens_produtos\1493.jpg;[];https://www.glumi.com.br/produto/cesta-de-basquete-infantil-com-aro-e-bola-30-x25-cm.html
2392;Bike Moto Cross Rosa Bicicleta Infantil Aro 16 4 A 8 Anos;Bicicleta;1199.9;939.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/2266395736d0e530a58.jpg;imagens_produtos\2392.jpg;[];https://www.glumi.com.br/produto/bike-moto-cross-rosa-bicicleta-infantil-aro-16-4-a-8-anos
